工号,层级,物料编码,物料描述,批次,特性值
Z161264219,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264219,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264219,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264220,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264220,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264220,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264223,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264223,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264223,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264227,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264227,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264227,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264228,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264228,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264228,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264233,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264233,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264233,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264289,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264289,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264289,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264291,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264291,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264291,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264306,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264306,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
