"工号-箱头-分箱","梯种","物料编码","物料描述","数量","箱头作业指令产出日期","物料要求送货日期","生产线","序号","导靴","导靴物料描述","提拉杆","提拉杆物料描述"
"18G113817-B03-01","MCA-Ⅱ-1050-CO105","Z161267835","立柱组合","1","2019/6/9 0:00","2019/6/6","1","50","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"17G062281-B03-01","HGE-Ⅲ-1050-CO105","Z161267835","立柱组合","1","2019/6/9 0:00","2019/6/6","2","20","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G089232-B03-01","HGE-Ⅲ-1050-CO105","Z161267835","立柱组合","1","2019/6/9 0:00","2019/6/6","2","21","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"17G077692-B03-01","HGP-S-1050-CO105","Z161267846","立柱组合","1","2019/6/9 0:00","2019/6/6","1","56","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"17G062285-B03-01","HGE-Ⅲ-1050-CO105","Z161267835","立柱组合","1","2019/6/9 0:00","2019/6/6","2","22","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"17G070954-B03-01","HGE-Ⅲ-825-CO90","Z161267981","立柱组合","1","2019/6/9 0:00","2019/6/6","1","28","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010606","提拉杆连接件组合件_13529946_C/84070111_A"
"17G070955-B03-01","HGE-Ⅲ-825-CO90","Z161267981","立柱组合","1","2019/6/9 0:00","2019/6/6","2","1","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010606","提拉杆连接件组合件_13529946_C/84070111_A"
"18G065811-B03-01","HGE-Ⅲ-1050-CO90","Z161267861","立柱组合","1","2019/6/9 0:00","2019/6/6","1","30","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G065823-B03-01","HGE-Ⅲ-1050-CO90","Z161267905","立柱组合","1","2019/6/9 0:00","2019/6/6","1","33","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G096005-B03-01","HGE-Ⅲ-825-CO90","Z161267861","立柱组合","1","2019/6/9 0:00","2019/6/6","1","31","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G065824-B03-01","HGE-Ⅲ-1050-CO90","Z161267861","立柱组合","1","2019/6/9 0:00","2019/6/6","1","32","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
