物料编码,物料类型,物料描述,是否确认,版本,类别分配,物料状态,单位,主图号,作业,名称,型号规格,成型尺寸,材质,开料尺寸,辅助图号,URL地址,生产ATO类型,材质ATO类型,非标描述,是否确认,制造或购买,安全库存量,计划员,限额领料,部件参数组,按需交付,生产模式,跟工号计划,供应类型,供应子库,供应货位,预加工提前期,加工中提前期,后加工提前期,固定提前期,可变提前期,固定供应天数,最小订货量,最大订货量,固定订货量,固定批次增加,属性备注,配送标识,VMI标识,是否确认,采购员,固定供应天数,最小订货量,最大订货量,固定订货量,固定批次增加,加工中提前期,默认子库,默认货位,默认仓管员,默认厂区,材质,长,宽,高,毛重,净重,是否循环使用
Z161263619,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3301,L3=3217,L4=3152,L5=2956,L6=2852,L7=0,L=2005.5,N1=1,SPEC=L70×70×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263627,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3551,L3=3467,L4=3382,L5=3256,L6=3152,L7=700,L=2005.5,N1=1,SPEC=L70×70×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263629,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263632,车间成品,立柱组合,是,A,Z161,DESIGN,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263633,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=4379,L3=4249,L4=4218,L5=3537,L6=3395.5,L7=756,N1=3,SPEC=L70×70×8,TYPE1=RP-160E1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263634,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3401,L3=3317,L4=3252,L5=3056,L6=2952,L7=0,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263637,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=4179,L3=4049,L4=4018,L5=3337,L6=3195.5,L7=700,N1=3,SPEC=L70×70×8,TYPE1=SP-24MB1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263638,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3381,L3=3297,L4=3282,L5=3036,L6=2932,L7=0,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263641,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3401,L3=3317,L4=3252,L5=3056,L6=2952,L7=0,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263653,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=4159,L3=4029,L4=3998,L5=3317,L6=3175.5,L7=700,N1=2,SPEC=L70×70×6,TYPE1=RP-160F1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263657,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263663,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263664,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=4079,L3=3949,L4=3918,L5=3337,L6=3195.5,L7=700,N1=2,SPEC=L70×70×8,TYPE1=RP-160F1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263665,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=3979,L3=3849,L4=3818,L5=3237,L6=3095.5,L7=700,N1=3,SPEC=L70×70×8,TYPE1=SP-24MB1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263667,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3481,L3=3397,L4=3312,L5=3136,L6=3032,L7=0,L=2005.5,N1=1,SPEC=L70×70×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263672,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3251,L3=3167,L4=3102,L5=2961,L6=2857,L7=0,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263673,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3301,L3=3217,L4=3152,L5=3056,L6=2952,L7=0,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263680,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263687,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263692,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3601,L3=3517,L4=3452,L5=3256,L6=3152,L7=700,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263697,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263702,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263705,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=4199,L3=4069,L4=4038,L5=3357,L6=3215.5,L7=700,N1=2,SPEC=L70×70×6,TYPE1=RP-160F1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263706,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=4199,L3=4069,L4=4038,L5=3357,L6=3215.5,L7=700,N1=2,SPEC=L70×70×8,TYPE1=RP-160F1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263707,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3381,L3=3297,L4=3232,L5=3036,L6=2932,L7=0,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263710,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263712,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3481,L3=3397,L4=3332,L5=3136,L6=3032,L7=0,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263713,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263715,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263716,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=4479,L3=4349,L4=4318,L5=3637,L6=3495.5,L7=806,N1=2,SPEC=L70×70×8,TYPE1=RP-160E1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263717,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263718,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263721,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3301,L3=3217,L4=3202,L5=2956,L6=2852,L7=0,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263724,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,装配图生产按11503741_G制作，图中：L1=4479，L3=4349，L4=4318，L5=3437，L6=3295.5，L7=800,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263725,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263727,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263728,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=4279,L3=4149,L4=4118,L5=3337,L6=3195.5,L7=700,N1=3,SPEC=L70×70×8,TYPE1=RP-160E1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263729,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263730,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3401,L3=3317,L4=3302,L5=3056,L6=2952,L7=0,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263731,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263732,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263733,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=4379,L3=4249,L4=4218,L5=3437,L6=3295.5,L7=706,N1=3,SPEC=L70×70×8,TYPE1=RP-160E1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263734,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=4379,L3=4249,L4=4218,L5=3437,L6=3295.5,L7=706,N1=3,SPEC=L70×70×8,TYPE1=RP-160E1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263737,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263739,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263740,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263742,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,生产参考12510663_K制作，图中L1=4479，L3±1=4349±1，L4±1=4318±1，L5±1=3637±1，（L6）=（3495.5）；主视图中尺寸链1025-1000-700改为1025-1000-700-500，增加一块连接板,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263745,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263746,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=3979,L3=3849,L4=3818,L5=3237,L6=3095.5,L7=700,N1=3,SPEC=L70×70×8,TYPE1=RP-160E1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263747,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263751,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3501,L3=3417,L4=3352,L5=3156,L6=3052,L7=0,L=2005.5,N1=1,SPEC=L70×70×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263752,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263753,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3201,L3=3117,L4=3102,L5=2961,L6=2857,L7=0,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263754,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3701,L3=3617,L4=3552,L5=3356,L6=3252,L7=700,L=2005.5,N1=1,SPEC=L70×70×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263755,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3701,L3=3617,L4=3552,L5=3356,L6=3252,L7=700,L=2005.5,N1=1,SPEC=L70×70×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263756,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263757,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263759,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=4279,L3=4149,L4=4118,L5=3437,L6=3295.5,L7=706,N1=3,SPEC=L70×70×8,TYPE1=RP-160E1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263762,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263763,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263764,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263765,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3181,L3=3097,L4=3032,L5=2918,L6=2814,L7=0,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263766,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3181,L3=3097,L4=3082,L5=2918,L6=2814,L7=0,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263767,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263768,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3581,L3=3497,L4=3432,L5=3236,L6=3132,L7=700,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263770,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263771,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=4179,L3=4049,L4=4018,L5=3337,L6=3195.5,L7=700,N1=2,SPEC=L70×70×8,TYPE1=RP-160F1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263773,车间成品,立柱组合,是,A,Z161,DESIGN,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3181,L3=3097,L4=3032,L5=2936,L6=2832,L7=0,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263774,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263775,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263776,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263779,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3601,L3=3517,L4=3452,L5=3256,L6=3152,L7=700,L=2005.5,N1=1,SPEC=L70×70×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263781,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=4259,L3=4129,L4=4098,L5=3217,L6=3075.5,L7=700,N1=2,SPEC=L70×70×6,TYPE1=RP-160F1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263782,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11502946_A,L1=3381,L3=3297,L4=3282,L5=3136,L6=3032,L7=0,L=2005.5,N1=1,SPEC=L50×50×6,TYPE1=SP-13MD1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263786,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263791,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263792,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263794,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263798,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,"参数化图号=11503741_A,L1=4159,L3=4029,L4=3998,L5=3317,L6=3175.5,L7=700,N1=2,SPEC=L70×70×6,TYPE1=RP-160F1",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263805,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263806,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263809,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263813,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263815,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263817,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263821,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263822,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263823,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263824,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263827,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161263828,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
