物料编码,物料类型,物料描述,是否确认,版本,类别分配,物料状态,单位,主图号,作业,名称,型号规格,成型尺寸,材质,开料尺寸,辅助图号,URL地址,生产ATO类型,材质ATO类型,非标描述,是否确认,制造或购买,安全库存量,计划员,限额领料,部件参数组,按需交付,生产模式,跟工号计划,供应类型,供应子库,供应货位,预加工提前期,加工中提前期,后加工提前期,固定提前期,可变提前期,固定供应天数,最小订货量,最大订货量,固定订货量,固定批次增加,属性备注,配送标识,VMI标识,是否确认,采购员,固定供应天数,最小订货量,最大订货量,固定订货量,固定批次增加,加工中提前期,默认子库,默认货位,默认仓管员,默认厂区,材质,长,宽,高,毛重,净重,是否循环使用
Z161010082,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010083,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,否,否,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010084,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010085,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010086,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161010087,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161010090,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161010091,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,否,否,图号W4502531_A_装配图生产按22500968_F制作，图中：H1=3962，H2=1575.5.图号W4502567_A_装配图生产按22500969_B制作，图中：L1=3349，L2=3079.5，L3=3333.,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010092,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,否,否,图号W4504068_A_装配图生产按22500968_F制作，图中：H1=4012，H2=1625.5.图号W4504069_A_装配图生产按22500969_B制作，图中：L1=3399，L2=3129.5，L3=3383.,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010093,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,图号W4500728_A_参照16502221-E，装配图生产按22501306-E制作，H1=3646，H2=1259.5，主视图中左侧水平尺寸16改为20，30改为34，A-A视图中245改为249，6改为10，16改为20；A-A视图俯视图中135改为139；A-A视图俯视图右边视图16改为20.图号W4500729_A_生产按22501306－E制作，H1=3646，H2=1259.5，主视图中左侧水平尺寸16改为20，30改为34，A-A视图中245改为249，6改为10，16改为20；A-A视图俯视图中135改为139；A-A视图俯视图右边视图16改为20.图号 W4500730_A_生产按22500969－A制作，主视图中水平尺寸245改为249，46改为50，L1＝3033；俯视图中右侧垂直尺寸23改为19，6改为10，左侧135改为139，175改为179，16改为20；件1详图中：主视图中245改为249，（16）改为（20），俯视图中6改为10，左视图中135改为139，46改为50；明细表中件1、件7材质改为Q235-A，δ＝10.,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010095,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
Z161010102,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,,,,是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Z161010103,车间成品,立柱组合,是,A,Z161,Active,ea,,,立柱组合,,,,,,,否,否,"装配图生产按12510663_H制作，总装图中:L1=3779,L3=3649,L4=3618，主视图中左上方水平尺寸480改为460",是,制造,,LZZP,否,,是,非拉动生产,是,推式,,,,1,0,,,,,,,,,,,,,,,,,,1,BJ-BJK-01,SBBA6D0101,WL010,SH-QP,,,,,,,
